order_id,customer_id,product_id,product_name,qty,price_rub,order_date,status
O10049,C0004,P001,Джинсы Basic,1,3490.00,2023-12-17,delivered
O10050,C0005,P002,Джинсы Premium,2,5290.00,2023-12-24,delivered
O10051,C0001,P003,Футболка Basics,3,1290.00,2023-01-15,delivered
O10052,C0002,P004,Футболка Artist,1,1890.00,2023-01-22,delivered
O10053,C0003,P005,Платье Elegant,2,4190.00,2023-01-29,delivered
O10054,C0004,P006,Платье Casual,3,2890.00,2023-02-05,delivered
O10055,C0005,P007,Пальто Urban,1,8990.00,2023-02-12,delivered
O10056,C0001,P008,Куртка Eco,2,10490.00,2023-02-19,delivered
O10057,C0002,P009,Ботинки Step,3,5990.00,2023-02-26,delivered
O10058,C0003,P010,Кроссовки Lite,1,4490.00,2023-03-05,delivered
O10059,C0004,P011,Сумка StyleWear,2,2290.00,2023-03-12,delivered
O10060,C0005,P012,Шарф Winter,3,1590.00,2023-03-19,delivered
O10061,C0001,P001,Джинсы Basic,1,3490.00,2023-03-26,delivered
O10062,C0002,P002,Джинсы Premium,2,5290.00,2023-04-02,returned
O10063,C0003,P003,Футболка Basics,3,1290.00,2023-04-09,cancelled
O10064,C0004,P004,Футболка Artist,1,1890.00,2023-04-16,delivered
O10065,C0005,P005,Платье Elegant,2,4190.00,2023-04-23,delivered
O10066,C0001,P006,Платье Casual,3,2890.00,2023-04-30,delivered
O10067,C0002,P007,Пальто Urban,1,8990.00,2023-05-07,delivered
O10068,C0003,P008,Куртка Eco,2,10490.00,2023-05-14,delivered
O10069,C0004,P009,Ботинки Step,3,5990.00,2023-05-21,delivered
O10070,C0005,P010,Кроссовки Lite,1,4490.00,2023-05-28,delivered
O10071,C0001,P011,Сумка StyleWear,2,2290.00,2023-06-04,delivered
O10072,C0002,P012,Шарф Winter,3,1590.00,2023-06-11,delivered
O10073,C0003,P001,Джинсы Basic,1,3490.00,2023-06-18,delivered
O10074,C0004,P002,Джинсы Premium,2,5290.00,2023-06-25,delivered
O10075,C0005,P003,Футболка Basics,3,1290.00,2023-07-02,delivered
O10076,C0001,P004,Футболка Artist,1,1890.00,2023-07-09,delivered
O10077,C0002,P005,Платье Elegant,2,4190.00,2023-07-16,delivered
O10078,C0003,P006,Платье Casual,3,2890.00,2023-07-23,delivered
O10079,C0004,P007,Пальто Urban,1,8990.00,2023-07-30,delivered
O10080,C0005,P008,Куртка Eco,2,10490.00,2023-08-06,delivered
O10081,C0001,P009,Ботинки Step,3,5990.00,2023-08-13,delivered
O10082,C0002,P010,Кроссовки Lite,1,4490.00,2023-08-20,delivered
O10083,C0003,P011,Сумка StyleWear,2,2290.00,2023-08-27,returned
O10084,C0004,P012,Шарф Winter,3,1590.00,2023-09-03,cancelled
O10085,C0005,P001,Джинсы Basic,1,3490.00,2023-09-10,delivered
O10086,C0001,P002,Джинсы Premium,2,5290.00,2023-09-17,delivered
O10087,C0002,P003,Футболка Basics,3,1290.00,2023-09-24,delivered
O10088,C0003,P004,Футболка Artist,1,1890.00,2023-10-01,delivered
O10089,C0004,P005,Платье Elegant,2,4190.00,2023-10-08,delivered
O10090,C0005,P006,Платье Casual,3,2890.00,2023-10-15,delivered
O10091,C0001,P007,Пальто Urban,1,8990.00,2023-10-22,delivered
O10092,C0002,P008,Куртка Eco,2,10490.00,2023-10-29,delivered
O10093,C0003,P009,Ботинки Step,3,5990.00,2023-11-05,delivered
O10094,C0004,P010,Кроссовки Lite,1,4490.00,2023-11-12,delivered
O10095,C0005,P011,Сумка StyleWear,2,2290.00,2023-11-19,delivered
O10096,C0001,P012,Шарф Winter,3,1590.00,2023-11-26,delivered
O10097,C0002,P001,Джинсы Basic,1,3490.00,2023-12-03,delivered
O10098,C0003,P002,Джинсы Premium,2,5290.00,2023-12-10,delivered
O10099,C0004,P003,Футболка Basics,3,1290.00,2023-12-17,delivered
O10100,C0005,P004,Футболка Artist,1,1890.00,2023-12-24,delivered
