return_id,order_id,reason,return_date
R0208,O14787,size,2024-06-24
R0209,O14795,size,2024-03-01
R0210,O14810,size,2024-03-03
R0211,O14831,size,2024-08-15
R0212,O14856,quality,2024-02-02
R0213,O14886,size,2024-01-14
R0214,O14888,size,2024-02-25
R0215,O14927,quality,2024-01-28
R0216,O14944,size,2024-10-07
R0217,O14961,size,2024-06-24
R0218,O14982,size,2024-01-12
R0219,O14985,does_not_match_description,2024-08-27
R0220,O14986,quality,2024-07-31
R0221,O15030,size,2024-10-23
R0222,O15056,quality,2024-08-30
R0223,O15073,size,2024-01-18
R0224,O15084,size,2024-09-28
R0225,O15129,size,2024-08-15
R0226,O15135,size,2024-08-19
R0227,O15139,quality,2024-05-11
R0228,O15169,size,2024-10-17
R0229,O15192,size,2024-08-23
R0230,O15208,size,2024-07-25
R0231,O15225,quality,2024-08-30
R0232,O15251,size,2024-08-05
R0233,O15267,size,2024-08-30
R0234,O15271,changed_mind,2024-02-05
R0235,O15276,quality,2024-01-05
R0236,O15288,quality,2024-04-16
R0237,O15290,does_not_match_description,2024-02-20
R0238,O15294,quality,2024-03-17
R0239,O15312,size,2024-02-29
R0240,O15316,quality,2024-10-30
R0241,O15337,size,2024-09-15
R0242,O15342,size,2024-01-26
R0243,O15351,does_not_match_description,2024-06-02
R0244,O15375,size,2024-01-29
R0245,O15434,size,2024-03-17
R0246,O15462,quality,2024-05-10
R0247,O15478,quality,2024-10-17
R0248,O15509,does_not_match_description,2024-10-31
R0249,O15559,quality,2024-04-06
R0250,O15619,size,2024-09-27
R0251,O15625,quality,2024-07-23
R0252,O15653,size,2024-06-30
R0253,O15658,size,2024-06-30
R0254,O15711,does_not_match_description,2024-01-08
R0255,O15749,size,2024-10-31
R0256,O15800,size,2024-10-04
R0257,O15824,size,2024-04-01
R0258,O15836,size,2024-10-05
R0259,O15865,size,2024-05-07
R0260,O15866,size,2024-07-25
R0261,O15890,size,2024-05-28
R0262,O15899,quality,2024-10-08
R0263,O15904,size,2024-06-04
R0264,O15921,does_not_match_description,2024-04-14
R0265,O15955,does_not_match_description,2024-07-11
R0266,O16001,does_not_match_description,2024-01-19
R0267,O16002,quality,2024-06-25
R0268,O16003,quality,2024-03-04
R0269,O16005,quality,2024-05-15
R0270,O16010,size,2024-10-01
R0271,O16015,size,2024-01-18
R0272,O16044,size,2024-03-15
R0273,O16081,size,2024-09-14
R0274,O16099,size,2024-05-22
R0275,O16113,size,2024-09-14
R0276,O16120,size,2024-07-24
R0277,O16147,size,2024-04-13
R0278,O16159,size,2024-09-18
R0279,O16167,size,2024-04-04
R0280,O16181,size,2024-08-03
R0281,O16194,quality,2024-09-19
R0282,O16234,size,2024-05-04
R0283,O16288,quality,2024-10-08
R0284,O16315,does_not_match_description,2024-03-06
R0285,O16377,size,2024-05-13
R0286,O16391,size,2024-10-25
R0287,O16399,size,2024-10-14
R0288,O16410,size,2024-04-12
R0289,O16413,size,2024-07-02
R0290,O16421,does_not_match_description,2024-05-30
R0291,O16435,size,2024-03-20
R0292,O16467,quality,2024-04-22
R0293,O16477,size,2024-10-20
R0294,O16537,size,2024-03-10
R0295,O16561,size,2024-08-09
R0296,O16615,size,2024-05-11
R0297,O16658,quality,2024-09-20
R0298,O16694,size,2024-04-15
R0299,O16706,size,2024-05-07
R0300,O16714,size,2024-01-10
R0301,O16755,size,2024-05-06
R0302,O16769,quality,2024-07-05
R0303,O16796,size,2024-06-03
R0304,O16823,does_not_match_description,2024-01-20
R0305,O16866,size,2024-06-08
R0306,O16884,does_not_match_description,2024-06-26
R0307,O16885,quality,2024-07-12
R0308,O16909,quality,2024-02-05
R0309,O16911,quality,2024-08-15
R0310,O16920,size,2024-01-28
R0311,O16925,quality,2024-03-05
R0312,O16935,size,2024-05-29
R0313,O16943,size,2024-10-28
R0314,O16971,size,2024-07-04
R0315,O17011,size,2024-02-27
R0316,O17015,size,2024-05-18
R0317,O17017,size,2024-03-01
R0318,O17018,quality,2024-05-08
R0319,O17039,size,2024-05-31
R0320,O17064,quality,2024-07-11
R0321,O17083,size,2024-07-04
R0322,O17104,quality,2024-03-13
R0323,O17129,size,2024-04-07
R0324,O17170,quality,2024-04-22
R0325,O17193,size,2024-01-15
R0326,O17195,size,2024-07-23
R0327,O17214,does_not_match_description,2024-08-13
R0328,O17219,size,2024-02-06
R0329,O17222,size,2024-10-01
R0330,O17227,size,2024-07-07
R0331,O17235,size,2024-05-30
R0332,O17243,size,2024-03-05
R0333,O17251,quality,2024-06-12
R0334,O17261,size,2024-03-23
R0335,O17275,size,2024-01-15
R0336,O17312,size,2024-11-06
R0337,O17331,size,2024-10-01
R0338,O17337,size,2024-05-12
R0339,O17369,size,2024-06-11
R0340,O17378,quality,2024-09-02
R0341,O17382,size,2024-01-02
R0342,O17390,quality,2024-08-16
R0343,O17396,quality,2024-08-30
R0344,O17397,does_not_match_description,2024-04-08
R0345,O17433,size,2024-02-27
R0346,O17435,quality,2024-01-27
R0347,O17443,size,2024-08-09
R0348,O17480,size,2024-08-05
R0349,O17484,size,2024-10-13
R0350,O17491,size,2024-10-23
R0351,O17501,quality,2024-02-06
R0352,O17523,quality,2024-02-28
R0353,O17530,quality,2024-05-20
R0354,O17556,size,2024-04-23
R0355,O17557,size,2024-02-11
R0356,O17570,size,2024-04-25
R0357,O17583,size,2024-03-23
R0358,O17584,does_not_match_description,2024-09-13
R0359,O17605,quality,2024-10-24
R0360,O17636,size,2024-10-10
R0361,O17703,size,2024-04-21
R0362,O17738,size,2024-06-04
R0363,O17752,does_not_match_description,2024-08-31
R0364,O17760,size,2024-06-07
R0365,O17768,quality,2024-08-24
R0366,O17770,changed_mind,2024-08-05
R0367,O17773,size,2024-01-20
R0368,O17787,quality,2024-06-15
R0369,O17821,does_not_match_description,2024-10-02
R0370,O17823,does_not_match_description,2024-10-10
R0371,O17930,quality,2024-07-16
R0372,O17965,size,2024-04-18
R0373,O17980,quality,2024-09-15
R0374,O18014,size,2024-04-14
R0375,O18042,size,2024-03-29
R0376,O18062,size,2024-04-12
R0377,O18066,does_not_match_description,2024-03-02
R0378,O18068,does_not_match_description,2024-06-10
R0379,O18074,size,2024-02-14
R0380,O18075,size,2024-10-01
R0381,O18091,size,2024-10-22
R0382,O18155,size,2024-08-18
R0383,O18167,size,2024-09-13
R0384,O18187,quality,2024-05-12
R0385,O18254,does_not_match_description,2024-04-04
R0386,O18269,size,2024-03-02
R0387,O18281,size,2024-11-02
R0388,O18315,size,2024-08-13
R0389,O18325,size,2024-10-25
R0390,O18348,size,2024-08-28
R0391,O18407,does_not_match_description,2024-09-28
R0392,O18410,size,2024-07-06
R0393,O18422,size,2024-03-05
R0394,O18458,does_not_match_description,2024-05-22
R0395,O18461,quality,2024-05-26
R0396,O18512,size,2024-03-15
R0397,O18520,quality,2024-01-06
R0398,O18528,size,2024-08-19
R0399,O18552,size,2024-11-01
R0400,O18576,size,2024-09-22
R0401,O18583,size,2024-09-01
R0402,O18590,size,2024-09-28
R0403,O18595,does_not_match_description,2024-08-21
R0404,O18602,does_not_match_description,2024-06-25
R0405,O18657,quality,2024-05-31
R0406,O18740,size,2024-02-24
R0407,O18759,size,2024-03-03
R0408,O18763,size,2024-07-16
R0409,O18794,size,2024-10-30
R0410,O18806,does_not_match_description,2024-08-30
R0411,O18812,quality,2024-06-24
R0412,O18866,quality,2024-06-03
R0413,O18903,does_not_match_description,2024-08-02
R0414,O18912,size,2024-10-08
R0415,O19032,size,2024-04-16
R0416,O19035,size,2024-09-30
R0417,O19061,size,2024-09-09
R0418,O19071,quality,2024-05-11
R0419,O19078,quality,2024-03-08
R0420,O19117,does_not_match_description,2024-03-16
R0421,O19127,size,2024-08-22
R0422,O19138,does_not_match_description,2024-10-03
R0423,O19141,size,2024-04-05
R0424,O19154,size,2024-06-22
R0425,O19156,does_not_match_description,2024-04-06
R0426,O19164,size,2024-09-30
R0427,O19186,size,2024-08-04
R0428,O19189,quality,2024-09-03
R0429,O19234,quality,2024-09-18
R0430,O19246,size,2024-09-24
R0431,O19251,quality,2024-05-08
R0432,O19282,size,2024-01-18
R0433,O19306,size,2024-08-15
R0434,O19373,size,2024-06-22
R0435,O19380,size,2024-02-25
R0436,O19425,size,2024-08-07
R0437,O19441,size,2024-07-15
R0438,O19444,size,2024-06-29
R0439,O19462,size,2024-07-14
R0440,O19517,size,2024-04-24
R0441,O19542,size,2024-05-14
R0442,O19549,changed_mind,2024-01-07
R0443,O19556,does_not_match_description,2024-05-14
R0444,O19584,size,2024-01-12
R0445,O19594,size,2024-04-30
R0446,O19598,size,2024-08-23
R0447,O19613,quality,2024-04-04
R0448,O19642,size,2024-01-13
R0449,O19655,size,2024-02-07
R0450,O19661,size,2024-06-18
R0451,O19662,size,2024-10-03
R0452,O19697,size,2024-06-13
R0453,O19707,quality,2024-04-30
R0454,O19737,quality,2024-06-12
R0455,O19751,size,2024-07-02
R0456,O19757,size,2024-04-08
R0457,O19760,size,2024-07-28
R0458,O19779,quality,2024-04-19
R0459,O19793,size,2024-05-31
R0460,O19800,size,2024-07-20
R0461,O19810,size,2024-10-21
R0462,O19849,does_not_match_description,2024-01-10
R0463,O19850,does_not_match_description,2024-02-12
R0464,O19900,does_not_match_description,2024-10-29
R0465,O19903,size,2024-05-29
R0466,O19920,quality,2024-01-11
R0467,O19932,size,2024-10-05
R0468,O19996,size,2024-01-11
R0469,O19997,quality,2024-08-03
R0470,O20005,changed_mind,2024-02-09
R0471,O20008,quality,2024-03-05
R0472,O20071,size,2024-04-12
R0473,O20076,size,2024-05-17
R0474,O20089,quality,2024-01-09
R0475,O20133,size,2024-10-21
R0476,O20141,quality,2024-04-17
R0477,O20174,size,2024-03-05
R0478,O20178,size,2024-04-11
R0479,O20214,size,2024-10-10
R0480,O20241,size,2024-01-20
R0481,O20243,does_not_match_description,2024-08-23
R0482,O20253,size,2024-10-21
R0483,O20300,size,2024-07-02
R0484,O20310,size,2024-02-26
R0485,O20313,size,2024-04-25
R0486,O20317,size,2024-05-10
R0487,O20333,quality,2024-09-08
R0488,O20351,does_not_match_description,2024-10-08
R0489,O20363,does_not_match_description,2024-06-29
R0490,O20443,size,2024-09-12
R0491,O20481,changed_mind,2024-05-09
R0492,O20486,size,2024-05-19
R0493,O20493,size,2024-08-26
R0494,O20527,size,2024-02-06
R0495,O20528,size,2024-06-02
R0496,O20557,does_not_match_description,2024-10-23
R0497,O20580,size,2024-08-31
R0498,O20598,quality,2024-01-29
R0499,O20610,changed_mind,2024-08-04
R0500,O20613,size,2024-05-04
R0501,O20630,size,2024-06-06
R0502,O20644,size,2024-06-01
R0503,O20676,size,2024-02-22
R0504,O20700,size,2024-03-14
R0505,O20710,size,2024-06-22
R0506,O20730,does_not_match_description,2024-06-24
R0507,O20770,size,2024-08-13
R0508,O20800,quality,2024-05-06
R0509,O20803,size,2024-03-02
R0510,O20808,changed_mind,2024-03-27
R0511,O20811,size,2024-07-12
R0512,O20836,size,2024-01-08
R0513,O20843,size,2024-02-22
R0514,O20868,quality,2024-04-22
R0515,O20869,size,2024-08-30
R0516,O20872,size,2024-04-24
R0517,O20883,does_not_match_description,2024-02-11
R0518,O20891,size,2024-10-16
R0519,O20896,does_not_match_description,2024-09-16
R0520,O20912,quality,2024-10-16
R0521,O20970,size,2024-06-17
R0522,O20991,size,2024-09-13
R0523,O20995,does_not_match_description,2024-04-27
R0524,O21020,quality,2024-04-11
R0525,O21034,quality,2024-01-13
R0526,O21038,size,2024-10-23
R0527,O21055,quality,2024-02-05
R0528,O21079,size,2024-07-02
R0529,O21107,size,2024-02-01
R0530,O21114,size,2024-10-03
R0531,O21123,size,2024-08-03
R0532,O21132,quality,2024-03-04
R0533,O21181,size,2024-09-13
R0534,O21194,size,2024-01-22
R0535,O21241,does_not_match_description,2024-08-23
R0536,O21265,does_not_match_description,2024-06-22
R0537,O21314,size,2024-06-06
R0538,O21323,size,2024-08-02
R0539,O21353,quality,2024-04-17
R0540,O21355,does_not_match_description,2024-06-25
R0541,O21357,does_not_match_description,2024-03-01
R0542,O21359,quality,2024-02-19
R0543,O21360,size,2024-05-29
R0544,O21364,size,2024-04-06
R0545,O21388,size,2024-08-06
R0546,O21399,size,2024-03-21
R0547,O21405,size,2024-03-31
R0548,O21443,does_not_match_description,2024-04-30
R0549,O21461,does_not_match_description,2024-06-05
R0550,O21494,size,2024-08-10
R0551,O21513,quality,2024-02-04
R0552,O21537,does_not_match_description,2024-04-16
R0553,O21539,size,2024-07-15
R0554,O21585,quality,2024-09-10
R0555,O21595,size,2024-09-15
R0556,O21601,does_not_match_description,2024-02-25
R0557,O21617,does_not_match_description,2024-03-30
R0558,O21636,does_not_match_description,2024-09-17
R0559,O21668,size,2024-07-08
R0560,O21673,size,2024-07-04
R0561,O21690,quality,2024-09-29
R0562,O21702,size,2024-06-11
R0563,O21742,size,2024-10-29
R0564,O21766,size,2024-07-03
R0565,O21774,size,2024-03-04
R0566,O21782,changed_mind,2024-07-20
R0567,O21795,size,2024-03-14
R0568,O21798,size,2024-03-11
R0569,O21823,quality,2024-10-20
R0570,O21842,size,2024-03-13
R0571,O21853,quality,2024-05-11
R0572,O21856,size,2024-08-29
R0573,O21894,size,2024-03-19
R0574,O21901,quality,2024-07-11
R0575,O21924,size,2024-05-29
R0576,O21954,size,2024-01-20
R0577,O21974,quality,2024-03-30
R0578,O22010,size,2024-06-19
R0579,O22047,changed_mind,2024-07-30
R0580,O22051,does_not_match_description,2024-07-21
R0581,O22077,does_not_match_description,2024-05-01
R0582,O22085,size,2024-04-01
R0583,O22118,size,2024-10-11
R0584,O22121,does_not_match_description,2024-08-06
R0585,O22125,changed_mind,2024-05-16
R0586,O22131,changed_mind,2024-10-24
R0587,O22174,size,2024-02-10
R0588,O22187,size,2024-02-28
R0589,O22203,size,2024-04-11
R0590,O22212,does_not_match_description,2024-01-26
R0591,O22221,quality,2024-02-29
R0592,O22229,quality,2024-08-12
R0593,O22232,size,2024-01-29
R0594,O22233,quality,2024-10-12
R0595,O22279,changed_mind,2024-04-26
R0596,O22344,does_not_match_description,2024-06-17
R0597,O22361,size,2024-03-07
R0598,O22421,size,2024-02-08
R0599,O22422,changed_mind,2024-01-13
R0600,O22428,changed_mind,2024-04-27
R0601,O22452,size,2024-01-12
R0602,O22456,size,2024-01-24
R0603,O22543,size,2024-02-29
R0604,O22548,size,2024-08-15
R0605,O22593,size,2024-06-17
R0606,O22600,size,2024-03-18
R0607,O22631,quality,2024-03-12
R0608,O22634,quality,2024-06-06
R0609,O22656,size,2024-04-16
R0610,O22663,quality,2024-05-14
R0611,O22720,size,2024-04-11
R0612,O22738,size,2024-09-13
R0613,O22748,size,2024-02-27
R0614,O22804,size,2024-08-24
R0615,O22811,size,2024-05-19
R0616,O22817,quality,2024-10-18
R0617,O22838,size,2024-06-25
R0618,O22844,size,2024-01-30
R0619,O22855,size,2024-03-06
R0620,O22863,size,2024-03-28
R0621,O22872,size,2024-03-23
R0622,O22931,quality,2024-02-28
R0623,O22940,does_not_match_description,2024-03-09
R0624,O23020,does_not_match_description,2024-04-04
R0625,O23034,size,2024-05-01
R0626,O23040,does_not_match_description,2024-08-15
R0627,O23084,quality,2024-01-27
R0628,O23088,does_not_match_description,2024-09-20
R0629,O23173,does_not_match_description,2024-09-14
R0630,O23178,size,2024-09-23
R0631,O23188,size,2024-10-18
R0632,O23190,size,2024-03-16
R0633,O23199,size,2024-07-21
R0634,O23200,changed_mind,2024-04-10
R0635,O23231,quality,2024-04-23
R0636,O23234,changed_mind,2024-07-22
R0637,O23257,changed_mind,2024-10-03
R0638,O23283,size,2024-03-25
R0639,O23292,quality,2024-06-23
R0640,O23312,size,2024-08-18
R0641,O23333,size,2024-06-26
R0642,O23348,does_not_match_description,2024-10-02
R0643,O23357,quality,2024-06-22
R0644,O23374,size,2024-07-08
R0645,O23378,size,2024-02-10
R0646,O23392,size,2024-04-04
R0647,O23411,size,2024-10-12
R0648,O23414,size,2024-10-03
R0649,O23425,size,2024-01-22
R0650,O23437,quality,2024-01-11
R0651,O23479,size,2024-02-28
R0652,O23509,size,2024-03-12
R0653,O23516,quality,2024-09-28
R0654,O23520,quality,2024-01-27
R0655,O23530,size,2024-10-01
R0656,O23587,size,2024-05-30
R0657,O23594,size,2024-03-08
R0658,O23617,size,2024-06-04
R0659,O23639,quality,2024-01-24
R0660,O23647,quality,2024-10-12
R0661,O23693,size,2024-05-12
R0662,O23701,quality,2024-08-07
R0663,O23712,size,2024-05-14
R0664,O23750,quality,2024-02-16
R0665,O23757,size,2024-04-17
R0666,O23763,size,2024-09-27
R0667,O23779,size,2024-09-15
R0668,O23785,size,2024-01-12
R0669,O23794,does_not_match_description,2024-06-24
R0670,O23802,does_not_match_description,2024-03-12
R0671,O23906,quality,2024-09-19
R0672,O23915,size,2024-05-29
R0673,O23935,quality,2024-09-25
R0674,O23943,does_not_match_description,2024-10-02
R0675,O23946,changed_mind,2024-01-23
R0676,O23965,quality,2024-01-30
R0677,O23980,size,2024-06-23
R0678,O24080,quality,2024-08-21
R0679,O24081,size,2024-02-17
R0680,O24092,size,2024-05-05
R0681,O24113,size,2024-07-11
R0682,O24119,quality,2024-01-05
R0683,O24145,quality,2024-08-15
R0684,O24170,quality,2024-10-21
R0685,O24187,size,2024-04-15
R0686,O24197,size,2024-01-10
R0687,O24202,quality,2024-07-12
R0688,O24204,size,2024-10-29
R0689,O24215,size,2024-07-28
R0690,O24225,size,2024-10-22
R0691,O24226,size,2024-02-08
R0692,O24254,quality,2024-05-19
R0693,O24304,size,2024-05-26
R0694,O24309,size,2024-10-19
R0695,O24318,size,2024-05-16
R0696,O24319,quality,2024-08-05
R0697,O24340,size,2024-09-23
R0698,O24396,does_not_match_description,2024-03-30
R0699,O24493,size,2024-08-12
R0700,O24524,size,2024-03-05
R0701,O24547,size,2024-08-10
R0702,O24548,does_not_match_description,2024-01-24
R0703,O24583,size,2024-04-15
R0704,O24595,size,2024-10-31
R0705,O24597,does_not_match_description,2024-04-01
R0706,O24612,quality,2024-03-22
R0707,O24691,size,2024-05-27
R0708,O24711,quality,2024-10-05
R0709,O24717,size,2024-07-21
R0710,O24739,size,2024-06-29
R0711,O24770,quality,2024-05-29
R0712,O24823,quality,2024-03-22
R0713,O24841,quality,2024-01-16
R0714,O24855,size,2024-07-25
R0715,O24876,quality,2024-10-13
R0716,O24893,size,2024-07-01
R0717,O24903,size,2024-03-07
R0718,O24919,size,2024-04-02
R0719,O24934,size,2024-05-25
R0720,O24944,quality,2024-04-08
R0721,O24966,does_not_match_description,2024-10-02
R0722,O24972,does_not_match_description,2024-04-08
R0723,O25001,changed_mind,2024-08-07
R0724,O25018,does_not_match_description,2024-09-29
R0725,O25023,size,2024-06-21
R0726,O25115,size,2024-04-28
R0727,O25117,size,2024-07-02
R0728,O25125,does_not_match_description,2024-01-28
R0729,O25129,size,2024-07-23
R0730,O25173,changed_mind,2024-08-24
R0731,O25193,size,2024-02-13
R0732,O25197,size,2024-06-26
R0733,O25242,size,2024-01-28
R0734,O25287,does_not_match_description,2024-08-01
R0735,O25299,does_not_match_description,2024-06-18
R0736,O25324,size,2024-08-20
R0737,O25331,changed_mind,2024-04-21
R0738,O25358,size,2024-07-29
R0739,O25391,does_not_match_description,2024-05-27
R0740,O25393,size,2024-10-20
R0741,O25400,size,2024-05-30
R0742,O25425,size,2024-09-07
R0743,O25437,quality,2024-02-15
R0744,O25475,size,2024-04-28
R0745,O25499,size,2024-01-15
R0746,O25503,changed_mind,2024-10-17
R0747,O25563,size,2024-05-11
R0748,O25575,quality,2024-06-01
R0749,O25609,does_not_match_description,2024-06-25
R0750,O25646,size,2024-10-27
R0751,O25649,does_not_match_description,2024-02-17
R0752,O25650,size,2024-05-03
R0753,O25653,size,2024-10-01
R0754,O25656,quality,2024-04-03
R0755,O25661,size,2024-03-03
R0756,O25670,quality,2024-06-18
R0757,O25688,does_not_match_description,2024-09-18
R0758,O25705,does_not_match_description,2024-09-06
R0759,O25765,quality,2024-10-25
R0760,O25787,quality,2024-09-11
R0761,O25794,does_not_match_description,2024-07-11
R0762,O25844,size,2024-08-28
R0763,O25855,quality,2024-02-26
R0764,O25915,size,2024-01-30
